id,name,latitude,longitude,2005,2006,2007,2008,2009,2010,2011
1,Atlanta,33.7489,-84.3881,85,38,75,30,9,15,38
2,Chicago,41.85,-87.65,28,29,38,26,15,12,10
3,Dallas,32.7828,-96.8039,18,59,22,60,82,42,18
4,Denver,39.7392,-104.9842,35,45,31,26,14,9,15
5,Houston,29.7631,-95.3631,12,31,15,22,28,38,31
6,Kansas City,39.0997,-94.5783,25,50,25,25,25,25,100
7,Los Angeles,34.0522,-118.2428,88,46,56,15,12,25,46
8,Miami,25.7738,-80.1924,52,51,46,68,75,85,96
9,Minneapolis,44.98,-93.2636,7,12,18,11,9,9,4
10,New York,40.7142,-74.0064,23,18,16,24,26,28,30
11,Philadelphia,39.9522,-75.1642,32,28,29,25,22,15,8
12,Phoenix,33.4539,-112.0746,8,15,22,25,29,28,32
13,San Francisco,37.775,-122.4183,82,74,72,10,85,88,74
14,Seattle,47.6097,-122.3331,9,16,14,23,45,66,85
15,Washington,38.89,-77.03,33,45,68,96,102,82,74
